State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Month, Year, Program(s), Operating Time, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, Unit Type, Fuel Type (Primary)
"IL","Goose Creek Power Plant","55496","CT-06",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","15.62","866.5",,"0.003","0.0235","0.126","618.362","10406.37","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Grand Tower Energy Center, LLC","862","CT01",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","51.59","7281.11",,"0.02","0.0847","2.325","4035.995","67912.875","5","MAIN","Combined cycle","Pipeline Natural Gas",
"IL","Grand Tower Energy Center, LLC","862","CT02",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","33.42","2586.27",,"0.01","0.0955","1.479","1925.419","32401.921","5","MAIN","Combined cycle","Pipeline Natural Gas",
"IL","Havana","891","9",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","629.98","163197.75",,"70.371","0.0777","71.812","194033.16","1850048.347","5","MAIN","Dry bottom wall-fired boiler","Coal",
"IL","Hennepin Power Station","892","1"," CS3","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","744.0","35790.0",,"90.823","0.1576","28.567","38769.653","369660.6","5","MAIN","Tangentially-fired","Coal",
"IL","Hennepin Power Station","892","2"," CS3","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","304.8","40975.89",,"105.414","0.159","31.747","42634.347","406507.349","5","MAIN","Tangentially-fired","Coal",
"IL","Holland Energy Facility","55334","CTG1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","276.72","63402.9",,"0.136","0.0198","3.454","27004.621","454417.385","5",,"Combined cycle","Pipeline Natural Gas",
"IL","Holland Energy Facility","55334","CTG2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","309.03","69944.57",,"0.149","0.0209","3.901","29545.415","497160.184","5",,"Combined cycle","Pipeline Natural Gas",
"IL","Interstate","7425","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","115.17","9833.58",,"0.038","0.0805","5.3","7557.056","127159.669","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Joliet 29","384","71"," CS7172","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","3.5","3.5",,"0.016","0.0","0.0","0.0","3.5","5","MAIN","Tangentially-fired","Coal, Pipeline Natural Gas",
"IL","Joliet 29","384","72"," CS7172","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"5","MAIN","Tangentially-fired","Coal, Pipeline Natural Gas",
"IL","Joliet 29","384","81"," CS8182","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"5","MAIN","Tangentially-fired","Coal, Pipeline Natural Gas",
"IL","Joliet 29","384","82"," CS8182","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"5","MAIN","Tangentially-fired","Coal, Pipeline Natural Gas",
"IL","Joppa Steam","887","1"," CS1","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","202.63","16056.63",,"37.973","0.1395","12.347","18300.821","176158.489","5","SERC","Tangentially-fired","Coal",
"IL","Joppa Steam","887","2"," CS1","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","53.58","2438.48",,"5.604","0.1353","1.657","2643.04","25201.604","5","SERC","Tangentially-fired","Coal",
"IL","Joppa Steam","887","3"," CS2","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","570.83","37682.91",,"70.839","0.0894","17.382","36741.027","387450.743","5","SERC","Tangentially-fired","Coal",
"IL","Joppa Steam","887","4"," CS2","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","443.67","29638.35",,"51.146","0.0871","14.367","28970.272","313997.401","5","SERC","Tangentially-fired","Coal",
"IL","Joppa Steam","887","5"," CS3","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","118.35","11235.55",,"27.492","0.1327","7.866","12892.558","122927.975","5","SERC","Tangentially-fired","Coal",
"IL","Joppa Steam","887","6"," CS3","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","352.36","26614.29",,"63.922","0.112","14.986","29286.246","279238.698","5","SERC","Tangentially-fired","Coal",
"IL","Kendall Energy Facility","55131","GTG-1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","472.91","105675.31",,"0.234","0.0186","4.714","46419.707","781102.567","5",,"Combined cycle","Pipeline Natural Gas",
"IL","Kendall Energy Facility","55131","GTG-2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","315.48","72058.85",,"0.159","0.0269","5.03","31396.973","528335.599","5",,"Combined cycle","Pipeline Natural Gas",
"IL","Kendall Energy Facility","55131","GTG-3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","495.23","112295.48",,"0.248","0.0136","4.789","49135.136","826795.293","5",,"Combined cycle","Pipeline Natural Gas",
"IL","Kendall Energy Facility","55131","GTG-4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combined cycle","Pipeline Natural Gas",
"IL","Kincaid Generating Station","876","1"," CS0102","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","78.43","18834.57",,"8.117","0.1523","9.197","21811.634","207968.078","5","MAIN","Cyclone boiler","Coal",
"IL","Kincaid Generating Station","876","2"," CS0102","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","44.4","8335.0",,"3.156","0.2101","7.377","10861.48","103560.66","5","MAIN","Cyclone boiler","Coal",
"IL","Kinmundy Power Plant","55204","KCTG1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Kinmundy Power Plant","55204","KCTG2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","LSP University Park, LLC","55640","CT01",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","199.08","7970.81",,"0.025","0.0241","0.75","4713.946","79318.766","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","LSP University Park, LLC","55640","CT02",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","200.23","8058.81",,"0.025","0.0276","0.782","4741.758","79773.489","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","LSP University Park, LLC","55640","CT03",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","170.66","6826.57",,"0.021","0.0235","0.684","4020.862","67658.778","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","LSP University Park, LLC","55640","CT04",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","173.57","6982.87",,"0.023","0.0244","0.7","4166.719","70108.906","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","LSP University Park, LLC","55640","CT05",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","176.02","7035.72",,"0.02","0.0257","0.756","4079.576","68645.258","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","LSP University Park, LLC","55640","CT06",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","176.46","7000.9",,"0.02","0.0248","0.686","4097.845","68961.55","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","LSP University Park, LLC","55640","CT07",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","170.66","6826.64",,"0.022","0.0317","0.742","4148.532","69811.257","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","LSP University Park, LLC","55640","CT08",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","151.11","5781.67",,"0.017","0.0322","0.691","3542.813","59610.458","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","LSP University Park, LLC","55640","CT09",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","165.8","6652.95",,"0.018","0.0253","0.666","3881.422","65313.727","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","LSP University Park, LLC","55640","CT10",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","169.17","6833.8",,"0.022","0.0239","0.656","4074.676","68561.113","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","LSP University Park, LLC","55640","CT11",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","167.41","6837.13",,"0.022","0.0214","0.535","4081.429","68685.926","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","LSP University Park, LLC","55640","CT12",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","155.41","6293.6",,"0.022","0.0285","0.663","4091.235","68845.472","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Lincoln Generating Facility","55222","CTG-1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","17.04","872.36",,"0.004","0.0565","0.205","709.772","11946.163","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Lincoln Generating Facility","55222","CTG-2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","16.27","850.13",,"0.003","0.0386","0.151","676.548","11385.858","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Lincoln Generating Facility","55222","CTG-3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","17.22","904.74",,"0.004","0.0402","0.212","722.614","12157.569","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Lincoln Generating Facility","55222","CTG-4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","17.41","933.68",,"0.004","0.0505","0.167","739.726","12451.772","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Lincoln Generating Facility","55222","CTG-5",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","14.5","742.4",,"0.003","0.055","0.159","599.725","10095.841","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Lincoln Generating Facility","55222","CTG-6",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","14.57","740.64",,"0.003","0.0614","0.121","605.381","10188.37","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Lincoln Generating Facility","55222","CTG-7",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","13.44","646.06",,"0.003","0.0478","0.141","527.88","8881.634","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Lincoln Generating Facility","55222","CTG-8",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","12.59","620.72",,"0.003","0.048","0.166","500.956","8428.189","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","MEPI GT Facility","7858","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5","SERC","Combustion turbine","Pipeline Natural Gas",
"IL","MEPI GT Facility","7858","2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5","SERC","Combustion turbine","Pipeline Natural Gas",
"IL","MEPI GT Facility","7858","3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5","SERC","Combustion turbine","Pipeline Natural Gas",
"IL","MEPI GT Facility","7858","4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5","SERC","Combustion turbine","Pipeline Natural Gas",
"IL","MEPI GT Facility","7858","5",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5","SERC","Combustion turbine","Pipeline Natural Gas",
"IL","Marion","976","123",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","743.95","74821.0",,"195.778","0.0822","38.678","99561.815","940865.385","5","SERC","Circulating fluidized bed boiler","Coal",
"IL","Marion","976","4",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","454.17","61288.98",,"160.541","0.1026","32.781","73442.482","694162.279","5","SERC","Cyclone boiler","Coal",
"IL","Marion","976","5",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","0.88","3.84",,"0.012","0.6155","0.029","4.7","61.8","5","SERC","Combustion turbine","Pipeline Natural Gas",
"IL","Marion","976","6",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","0.93","4.65",,"0.016","0.6115","0.038","6.1","79.8","5","SERC","Combustion turbine","Pipeline Natural Gas",
"IL","NRG Rockford Energy Center","55238","0001",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","10.54","1403.17",,"0.005","0.0528","0.401","891.858","15006.249","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","NRG Rockford Energy Center","55238","0002",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","15.43","2018.56",,"0.007","0.0477","0.518","1328.895","22362.174","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","NRG Rockford II Energy Center","55936","U1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.94","92.67",,"0.0","0.1055","0.047","62.292","1048.808","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Nelson Energy Center","55183","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","218.0","31074.84",,"0.1","0.0332","3.569","19724.003","331893.359","5",,"Combined cycle","Pipeline Natural Gas",
"IL","Nelson Energy Center","55183","2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","194.8","28393.97",,"0.09","0.0348","3.142","17792.111","299389.945","5",,"Combined cycle","Pipeline Natural Gas",
"IL","Newton","6017","1",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","67.93","13615.96",,"36.515","0.1032","7.736","16378.346","156161.939","5","MAIN","Tangentially-fired","Coal",
"IL","Newton","6017","2",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","227.24","56211.98",,"121.755","0.0846","21.901","55177.099","526103.412","5","MAIN","Tangentially-fired","Coal",
"IL","Pinckneyville Power Plant","55202","CT01",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","37.09","1533.01",,"0.004","0.1182","0.748","888.051","14943.397","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Pinckneyville Power Plant","55202","CT02",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","38.61","1606.82",,"0.005","0.1095","0.744","912.899","15362.216","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Pinckneyville Power Plant","55202","CT03",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","40.77","1694.3",,"0.005","0.1258","0.879","998.687","16808.516","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Pinckneyville Power Plant","55202","CT04",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","45.68","1915.66",,"0.006","0.1161","0.916","1098.546","18482.353","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Pinckneyville Power Plant","55202","CT05",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Pinckneyville Power Plant","55202","CT06",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Pinckneyville Power Plant","55202","CT07",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Pinckneyville Power Plant","55202","CT08",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Powerton","879","51"," CS0506","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"5","MAIN","Cyclone boiler","Coal",
"IL","Powerton","879","52"," CS0506","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"5","MAIN","Cyclone boiler","Coal",
"IL","Powerton","879","61"," CS0506","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","144.75","40262.75",,"58.57","0.1598","26.192","48065.148","452626.35","5","MAIN","Cyclone boiler","Coal",
"IL","Powerton","879","62"," CS0506","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","123.25","36758.25",,"50.555","0.1244","21.477","42306.202","398394.975","5","MAIN","Cyclone boiler","Coal",
"IL","Prairie State Generating Station","55856","01",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","744.0","614187.0",,"481.047","0.0526","152.221","592597.8","5775810.5","5",,"Dry bottom wall-fired boiler","Coal",
"IL","Prairie State Generating Station","55856","02",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","682.8","555931.0",,"401.919","0.0645","156.699","529279.188","5158664.388","5",,"Dry bottom wall-fired boiler","Coal",
"IL","Raccoon Creek Power Plant","55417","CT-01",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Raccoon Creek Power Plant","55417","CT-02",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Raccoon Creek Power Plant","55417","CT-03",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Raccoon Creek Power Plant","55417","CT-04",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Rocky Road Power, LLC","55109","T1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","18.05","1685.77",,"0.006","0.0789","0.781","1205.24","20181.945","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Rocky Road Power, LLC","55109","T2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Rocky Road Power, LLC","55109","T3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","42.7","1205.36",,"0.004","0.1921","1.233","775.626","12989.924","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Rocky Road Power, LLC","55109","T4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Shelby County","55237","SCE1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","85.85","3666.35",,"0.012","0.0922","1.355","2158.7","36558.0","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Shelby County","55237","SCE2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","49.49","1925.28",,"0.006","0.0953","0.724","1155.1","19563.8","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Shelby County","55237","SCE3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","66.51","1569.26",,"0.005","0.4053","0.912","987.9","16743.6","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Shelby County","55237","SCE4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","68.95","2976.67",,"0.01","0.0651","0.985","1786.0","30295.2","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Shelby County","55237","SCE5",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","55.41","2298.93",,"0.008","0.1158","0.754","1368.8","23177.6","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Shelby County","55237","SCE6",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","60.61","2591.95",,"0.009","0.0741","0.867","1570.6","26604.2","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Shelby County","55237","SCE7",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","44.52","1901.52",,"0.006","0.0901","0.625","1128.6","19150.9","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Shelby County","55237","SCE8",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","48.71","2086.9",,"0.007","0.0878","0.688","1247.3","21137.0","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Southeast Chicago Energy Project","55281","CTG10"," CP1","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","11.98","373.4",,"0.001","0.4105","0.548","307.7","5214.5","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Southeast Chicago Energy Project","55281","CTG11"," CP1","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","13.03","385.79",,"0.002","0.3684","0.423","317.8","5387.4","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Southeast Chicago Energy Project","55281","CTG12"," CP1","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","19.31","274.54",,"0.001","0.4586","0.407","226.4","3834.0","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Southeast Chicago Energy Project","55281","CTG5"," CP1","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","22.5","571.57",,"0.002","0.4623","0.674","470.8","7981.6","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Southeast Chicago Energy Project","55281","CTG6"," CP1","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","18.39","462.37",,"0.002","0.3837","0.607","380.7","6457.0","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Southeast Chicago Energy Project","55281","CTG7"," CP1","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","13.21","409.2",,"0.002","0.3684","0.533","337.2","5714.3","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Southeast Chicago Energy Project","55281","CTG8"," CP1","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","12.94","391.77",,"0.002","0.3686","0.48","322.7","5470.8","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Southeast Chicago Energy Project","55281","CTG9"," CP1","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","12.95","396.4",,"0.002","0.3689","0.479","326.6","5535.5","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Tilton Power Station","7760","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","36.95","1362.33",,"0.004","0.0922","0.605","827.625","13925.024","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Tilton Power Station","7760","2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","36.99","1345.93",,"0.004","0.0921","0.592","824.225","13869.113","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Tilton Power Station","7760","3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","36.93","1336.5",,"0.004","0.1095","0.627","802.032","13494.061","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Tilton Power Station","7760","4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","36.85","1337.7",,"0.004","0.1033","0.636","799.282","13448.052","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","University Park Energy","55250","UP1"," CP100","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","78.24","1664.6",,"0.006","0.0999","0.78","1062.3","18014.2","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","University Park Energy","55250","UP10"," CP100","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","17.63","369.96",,"0.001","0.1127","0.173","236.4","4004.1","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","University Park Energy","55250","UP11"," CP100","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","73.04","1520.63",,"0.004","0.0935","0.716","970.8","16456.6","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","University Park Energy","55250","UP12"," CP100","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","72.51","1550.28",,"0.005","0.0935","0.73","989.4","16777.0","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","University Park Energy","55250","UP2"," CP100","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","72.31","1523.32",,"0.004","0.1005","0.714","973.0","16486.1","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","University Park Energy","55250","UP3"," CP100","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","94.81","1992.29",,"0.005","0.103","0.94","1272.1","21561.2","5",,"Combustion turbine","Pipeline Natural Gas",
